text,command,intent
Shut down the computer now,shutdown,immediate
Hibernate the PC now,hibernate,immediate
Pon el computador en suspensión de inmediato,sleep,immediate
Procede a hibernar el equipo de inmediato,hibernate,immediate
Reinicia el sistema cuando termine,restart,scheduled
Apaga el computador ya,shutdown,immediate
Shut down the computer now,shutdown,immediate
Por favor apaga el sistema enseguida,shutdown,immediate
Please restart the device in an hour,restart,scheduled
Please shut down the system in an hour,shutdown,scheduled
Restart the system asap,restart,immediate
Procede a apagar el equipo cuando termine,shutdown,scheduled
Please shut down the system later,shutdown,scheduled
Suspend the system afterwards,sleep,scheduled
Activa el modo suspensión después,sleep,scheduled
Suspende el sistema ahora,sleep,immediate
Haz un reinicio de inmediato,restart,immediate
Suspende el PC en una hora,sleep,scheduled
Put the computer to sleep later,sleep,scheduled
Ponlo a dormir más tarde,sleep,scheduled
Haz un reinicio después,restart,scheduled
Apaga el PC ya,shutdown,immediate
Apaga todo más tarde,shutdown,scheduled
Make it sleep deep afterwards,hibernate,scheduled
Suspende el PC cuando termine,sleep,scheduled
Por favor reinicia el equipo de inmediato,restart,immediate
Déjalo en modo reposo ya,sleep,immediate
Power off everything later,shutdown,scheduled
Suspend the system right away,sleep,immediate
Activate sleep mode in an hour,sleep,scheduled
Turn it off and on again when finished,restart,scheduled
Mételo a dormir profundo ahora,hibernate,immediate
Turn it off and on again asap,restart,immediate
Reinicia el sistema ahora,restart,immediate
Pon el computador en hibernación ya,hibernate,immediate
Suspend the system asap,sleep,immediate
Activate hibernate mode later,hibernate,scheduled
Turn it off right away,shutdown,immediate
Turn off the PC in an hour,shutdown,scheduled
Restart the system when finished,restart,scheduled
Coloca el sistema en hibernación cuando termine,hibernate,scheduled
Reinicia el computador cuando termine,restart,scheduled
Reinicia el computador en una hora,restart,scheduled
Turn it off asap,shutdown,immediate
Turn off the PC immediately,shutdown,immediate
Hibernate it now now,hibernate,immediate
Pon el computador en suspensión más tarde,sleep,scheduled
Por favor apaga el sistema de inmediato,shutdown,immediate
Hibernate the PC afterwards,hibernate,scheduled
Put the computer to sleep right away,sleep,immediate
Haz un reinicio de inmediato,restart,immediate
Apaga todo en una hora,shutdown,scheduled
Apaga todo ahora,shutdown,immediate
Suspende el PC de inmediato,sleep,immediate
Kill the power asap,shutdown,immediate
Restart the system afterwards,restart,scheduled
Dale reiniciar enseguida,restart,immediate
Pon el computador en suspensión en una hora,sleep,scheduled
Dale reiniciar de inmediato,restart,immediate
Power off everything in an hour,shutdown,scheduled
Turn off the PC in an hour,shutdown,scheduled
Make it sleep deep right away,hibernate,immediate
Activate hibernate mode asap,hibernate,immediate
Turn off the PC right away,shutdown,immediate
Turn it off asap,shutdown,immediate
Reboot the computer in an hour,restart,scheduled
Put the computer to sleep immediately,sleep,immediate
Dale reiniciar en una hora,restart,scheduled
Turn it off afterwards,shutdown,scheduled
Procede a apagar el equipo ahora,shutdown,immediate
Turn off the PC when finished,shutdown,scheduled
Por favor reinicia el equipo de inmediato,restart,immediate
Shut down the computer right away,shutdown,immediate
Procede a apagar el equipo de inmediato,shutdown,immediate
Apaga todo después,shutdown,scheduled
Put the computer to sleep when finished,sleep,scheduled
Put the computer to sleep later,sleep,scheduled
Pon el computador en hibernación después,hibernate,scheduled
Put the computer to sleep when finished,sleep,scheduled
Kill the power later,shutdown,scheduled
Put the computer to sleep now,sleep,immediate
Activa el modo suspensión después,sleep,scheduled
Procede a apagar el equipo enseguida,shutdown,immediate
Reinicia el sistema cuando termine,restart,scheduled
Déjalo en modo reposo enseguida,sleep,immediate
Power off everything immediately,shutdown,immediate
Turn off the PC immediately,shutdown,immediate
Activate sleep mode right away,sleep,immediate
Apaga todo ya,shutdown,immediate
Put the computer into hibernation asap,hibernate,immediate
Turn it off and on again asap,restart,immediate
Suspend the system immediately,sleep,immediate
Reinicia el computador enseguida,restart,immediate
Activa el modo hibernar cuando termine,hibernate,scheduled
Sleep it now immediately,sleep,immediate
Apaga el PC ahora,shutdown,immediate
Please shut down the system in an hour,shutdown,scheduled
Coloca el sistema en hibernación más tarde,hibernate,scheduled
Restart the system later,restart,scheduled
Bájale el switch al compu cuando termine,shutdown,scheduled
Hibernate the PC asap,hibernate,immediate
Por favor apaga el sistema ya,shutdown,immediate
Haz un reinicio ya,restart,immediate
Dale reiniciar enseguida,restart,immediate
Hibernate it now immediately,hibernate,immediate
Suspend the system in an hour,sleep,scheduled
Por favor reinicia el equipo ahora,restart,immediate
Bájale el switch al compu más tarde,shutdown,scheduled
Reinicia el sistema en una hora,restart,scheduled
Reinicia el sistema en una hora,restart,scheduled
Shut down the computer asap,shutdown,immediate
Procede a hibernar el equipo enseguida,hibernate,immediate
Please shut down the system when finished,shutdown,scheduled
Put the computer into hibernation when finished,hibernate,scheduled
Kill the power in an hour,shutdown,scheduled
Pon el computador en hibernación más tarde,hibernate,scheduled
Suspende el PC cuando termine,sleep,scheduled
Restart the system immediately,restart,immediate
Por favor apaga el sistema enseguida,shutdown,immediate
Please shut down the system when finished,shutdown,scheduled
Apaga el PC en una hora,shutdown,scheduled
Dale reiniciar cuando termine,restart,scheduled
Put that system to hibernate in an hour,hibernate,scheduled
Suspende el sistema de inmediato,sleep,immediate
Hibernate the PC asap,hibernate,immediate
Turn off the PC in an hour,shutdown,scheduled
Kill the power later,shutdown,scheduled
Reboot the computer now,restart,immediate
Suspend the system right away,sleep,immediate
Déjalo en modo reposo después,sleep,scheduled
Hiberna el PC en una hora,hibernate,scheduled
Suspend the system in an hour,sleep,scheduled
Restart the system later,restart,scheduled
Please restart the device afterwards,restart,scheduled
Perform a system reboot now,restart,immediate
Apaga todo ya,shutdown,immediate
Shut down the computer now,shutdown,immediate
Sleep it now later,sleep,scheduled
Apaga el computador cuando termine,shutdown,scheduled
Pon el computador en hibernación ahora,hibernate,immediate
Reinicia el sistema después,restart,scheduled
Power off everything asap,shutdown,immediate
Turn off the PC afterwards,shutdown,scheduled
Turn it off and on again when finished,restart,scheduled
Turn it off right away,shutdown,immediate
Ponlo a dormir cuando termine,sleep,scheduled
Reboot the computer right away,restart,immediate
Please restart the device later,restart,scheduled
Procede a hibernar el equipo ahora,hibernate,immediate
Activate hibernate mode asap,hibernate,immediate
Déjalo en modo reposo ahora,sleep,immediate
Please shut down the system afterwards,shutdown,scheduled
Mételo a dormir profundo cuando termine,hibernate,scheduled
Turn it off afterwards,shutdown,scheduled
Pon el computador en hibernación más tarde,hibernate,scheduled
Perform a system reboot immediately,restart,immediate
Please restart the device in an hour,restart,scheduled
Pon el computador en hibernación después,hibernate,scheduled
Por favor apaga el sistema después,shutdown,scheduled
Hiberna el PC después,hibernate,scheduled
Reboot the computer immediately,restart,immediate
Coloca el sistema en hibernación de inmediato,hibernate,immediate
Hiberna el PC después,hibernate,scheduled
Hibernate the PC in an hour,hibernate,scheduled
Activa el modo suspensión ya,sleep,immediate
Procede a apagar el equipo más tarde,shutdown,scheduled
Procede a apagar el equipo cuando termine,shutdown,scheduled
Sleep it now now,sleep,immediate
Por favor apaga el sistema cuando termine,shutdown,scheduled
Déjalo en modo reposo más tarde,sleep,scheduled
Déjalo en modo reposo ya,sleep,immediate
Power off everything immediately,shutdown,immediate
Hiberna el PC de inmediato,hibernate,immediate
Activate hibernate mode immediately,hibernate,immediate
Restart the system afterwards,restart,scheduled
Restart that thing afterwards,restart,scheduled
Pon el computador en suspensión después,sleep,scheduled
Make the PC nap afterwards,sleep,scheduled
Reinicia el sistema cuando termine,restart,scheduled
Restart that thing right away,restart,immediate
Activa el modo suspensión más tarde,sleep,scheduled
Suspende el PC después,sleep,scheduled
Reboot the computer afterwards,restart,scheduled
Activa el modo hibernar ya,hibernate,immediate
Activate hibernate mode afterwards,hibernate,scheduled
Haz un reinicio después,restart,scheduled
Procede a hibernar el equipo ahora,hibernate,immediate
Activa el modo suspensión en una hora,sleep,scheduled
Reinicia el sistema en una hora,restart,scheduled
Suspende el sistema en una hora,sleep,scheduled
Reinicia el sistema ya,restart,immediate
Put the computer into hibernation later,hibernate,scheduled
Please restart the device afterwards,restart,scheduled
Procede a apagar el equipo ahora,shutdown,immediate
Restart that thing afterwards,restart,scheduled
Coloca el sistema en hibernación de inmediato,hibernate,immediate
Apaga el computador ahora,shutdown,immediate
Put that system to hibernate now,hibernate,immediate
Turn off the PC in an hour,shutdown,scheduled
Restart the system right away,restart,immediate
Activate sleep mode in an hour,sleep,scheduled
Sleep it now now,sleep,immediate
Apaga el computador ya,shutdown,immediate
Hibernate it now immediately,hibernate,immediate
Bájale el switch al compu en una hora,shutdown,scheduled
Reboot the computer in an hour,restart,scheduled
Turn off the PC right away,shutdown,immediate
Turn it off right away,shutdown,immediate
Haz un reinicio más tarde,restart,scheduled
Restart the system immediately,restart,immediate
Put the computer into hibernation asap,hibernate,immediate
Ponlo a dormir enseguida,sleep,immediate
Apaga el computador después,shutdown,scheduled
Reinicia el computador enseguida,restart,immediate
Put that system to hibernate later,hibernate,scheduled
Haz un reinicio ya,restart,immediate
Kill the power now,shutdown,immediate
Power off everything now,shutdown,immediate
Suspend the system afterwards,sleep,scheduled
Apaga todo cuando termine,shutdown,scheduled
Put the computer to sleep afterwards,sleep,scheduled
Turn off the PC when finished,shutdown,scheduled
Please restart the device later,restart,scheduled
Suspende el PC cuando termine,sleep,scheduled
Make it sleep deep right away,hibernate,immediate
Procede a hibernar el equipo ya,hibernate,immediate
Suspende el PC ahora,sleep,immediate
Sleep it now later,sleep,scheduled
Pon el computador en suspensión después,sleep,scheduled
Power off everything in an hour,shutdown,scheduled
Ponlo a dormir ahora,sleep,immediate
Activate hibernate mode immediately,hibernate,immediate
Turn it off asap,shutdown,immediate
Suspende el sistema en una hora,sleep,scheduled
Restart that thing afterwards,restart,scheduled
Reinicia el computador de inmediato,restart,immediate
Reinicia el computador ya,restart,immediate
Mételo a dormir profundo ya,hibernate,immediate
Suspend the system in an hour,sleep,scheduled
Procede a apagar el equipo ahora,shutdown,immediate
Put the computer to sleep immediately,sleep,immediate
Mételo a dormir profundo cuando termine,hibernate,scheduled
Activa el modo suspensión enseguida,sleep,immediate
Activate sleep mode in an hour,sleep,scheduled
Turn off the PC now,shutdown,immediate
Turn it off right away,shutdown,immediate
Put that system to hibernate afterwards,hibernate,scheduled
Hibernate the PC right away,hibernate,immediate
Make it sleep deep in an hour,hibernate,scheduled
Suspend the system asap,sleep,immediate
Haz un reinicio cuando termine,restart,scheduled
Suspende el PC después,sleep,scheduled
Suspende el PC de inmediato,sleep,immediate
Shut down the computer immediately,shutdown,immediate
Apaga el PC de inmediato,shutdown,immediate
Bájale el switch al compu más tarde,shutdown,scheduled
Procede a hibernar el equipo enseguida,hibernate,immediate
Suspend the system when finished,sleep,scheduled
Déjalo en modo reposo después,sleep,scheduled
Restart that thing immediately,restart,immediate
Haz un reinicio ahora,restart,immediate
Reinicia el computador de inmediato,restart,immediate
Turn off the PC in an hour,shutdown,scheduled
Apaga el PC más tarde,shutdown,scheduled
Procede a hibernar el equipo más tarde,hibernate,scheduled
Restart the system later,restart,scheduled
Please shut down the system later,shutdown,scheduled
Pon el computador en hibernación ahora,hibernate,immediate
Turn it off and on again right away,restart,immediate
Turn it off and on again later,restart,scheduled
Vuelve a encender esa vaina cuando termine,restart,scheduled
Déjalo en modo reposo en una hora,sleep,scheduled
Restart the system immediately,restart,immediate
Suspende el PC después,sleep,scheduled
Por favor reinicia el equipo cuando termine,restart,scheduled
Hibernate the PC in an hour,hibernate,scheduled
Bájale el switch al compu cuando termine,shutdown,scheduled
Make it sleep deep afterwards,hibernate,scheduled
Make the PC nap immediately,sleep,immediate
Turn off the PC afterwards,shutdown,scheduled
Let it rest in an hour,sleep,scheduled
Let it rest immediately,sleep,immediate
Suspend the system now,sleep,immediate
Pon el computador en hibernación ahora,hibernate,immediate
Hiberna el PC ya,hibernate,immediate
Suspende el PC cuando termine,sleep,scheduled
Reinicia el sistema enseguida,restart,immediate
Ponlo a dormir después,sleep,scheduled
Make it sleep deep in an hour,hibernate,scheduled
Please shut down the system asap,shutdown,immediate
Mételo a dormir profundo ya,hibernate,immediate
Please restart the device now,restart,immediate
Kill the power afterwards,shutdown,scheduled
Let it rest later,sleep,scheduled
Power off everything when finished,shutdown,scheduled
Activate sleep mode later,sleep,scheduled
Make the PC nap now,sleep,immediate
Make it sleep deep right away,hibernate,immediate
Activate sleep mode later,sleep,scheduled
Activate hibernate mode asap,hibernate,immediate
Make the PC nap asap,sleep,immediate
Perform a system reboot asap,restart,immediate
Activa el modo suspensión después,sleep,scheduled
Perform a system reboot later,restart,scheduled
Procede a hibernar el equipo después,hibernate,scheduled
Put that system to hibernate now,hibernate,immediate
Put the computer into hibernation in an hour,hibernate,scheduled
Put the computer to sleep immediately,sleep,immediate
Reboot the computer now,restart,immediate
Por favor reinicia el equipo ahora,restart,immediate
Dale reiniciar más tarde,restart,scheduled
Procede a apagar el equipo en una hora,shutdown,scheduled
Activa el modo suspensión ya,sleep,immediate
Hibernate it now now,hibernate,immediate
Activate sleep mode later,sleep,scheduled
Activate hibernate mode afterwards,hibernate,scheduled
Procede a hibernar el equipo después,hibernate,scheduled
Shut down the computer afterwards,shutdown,scheduled
Haz un reinicio ahora,restart,immediate
Perform a system reboot afterwards,restart,scheduled
Please shut down the system afterwards,shutdown,scheduled
Suspende el PC más tarde,sleep,scheduled
Bájale el switch al compu cuando termine,shutdown,scheduled
Ponlo a dormir cuando termine,sleep,scheduled
Bájale el switch al compu cuando termine,shutdown,scheduled
Suspend the system now,sleep,immediate
Reinicia el sistema cuando termine,restart,scheduled
Reboot the computer later,restart,scheduled
Reinicia el sistema más tarde,restart,scheduled
Power off everything later,shutdown,scheduled
Dale reiniciar en una hora,restart,scheduled
Power off everything now,shutdown,immediate
Restart that thing now,restart,immediate
Suspende el PC en una hora,sleep,scheduled
Reinicia el computador ahora,restart,immediate
Hibernate the PC afterwards,hibernate,scheduled
